deck1,deck2,wins,losses,ties,total,win_rate
alakazam-dudunsparce,alakazam-dudunsparce,83,83,9,92,49.1
alakazam-dudunsparce,dragapult-blaziken,59,72,6,137,44.5
dragapult-blaziken,alakazam-dudunsparce,72,59,6,137,54.0
alakazam-dudunsparce,dragapult-dusknoir,87,171,42,300,33.7
dragapult-dusknoir,alakazam-dudunsparce,171,87,42,300,61.7
alakazam-dudunsparce,dragapult-ex,88,102,7,197,45.9
dragapult-ex,alakazam-dudunsparce,102,88,7,197,53.0
alakazam-dudunsparce,gardevoir-ex-sv,27,50,20,97,34.7
gardevoir-ex-sv,alakazam-dudunsparce,50,27,20,97,58.4
alakazam-dudunsparce,gholdengo-lunatone,54,39,12,105,55.2
gholdengo-lunatone,alakazam-dudunsparce,39,54,12,105,41.0
alakazam-dudunsparce,grimmsnarl-froslass,65,84,17,166,42.6
grimmsnarl-froslass,alakazam-dudunsparce,84,65,17,166,54.0
alakazam-dudunsparce,lucario-hariyama,109,81,24,214,54.7
lucario-hariyama,alakazam-dudunsparce,81,109,24,214,41.6
alakazam-dudunsparce,mega-absol-box,67,37,12,116,61.2
mega-absol-box,alakazam-dudunsparce,37,67,12,116,35.3
alakazam-dudunsparce,n-zoroark,103,114,23,240,46.1
n-zoroark,alakazam-dudunsparce,114,103,23,240,50.7
alakazam-dudunsparce,ogerpon-meganium,64,72,6,142,46.5
ogerpon-meganium,alakazam-dudunsparce,72,64,6,142,52.1
alakazam-dudunsparce,raging-bolt-ogerpon,82,34,19,135,65.4
raging-bolt-ogerpon,alakazam-dudunsparce,34,82,19,135,29.9
alakazam-dudunsparce,rocket-mewtwo-ex,27,132,13,172,18.2
rocket-mewtwo-ex,alakazam-dudunsparce,132,27,13,172,79.3
alakazam-dudunsparce,starmie-froslass,55,36,4,95,59.3
starmie-froslass,alakazam-dudunsparce,36,55,4,95,39.3
dragapult-blaziken,dragapult-blaziken,65,65,4,69,49.5
dragapult-blaziken,dragapult-dusknoir,66,55,11,132,52.8
dragapult-dusknoir,dragapult-blaziken,55,66,11,132,44.4
dragapult-blaziken,dragapult-ex,83,96,14,193,45.4
dragapult-ex,dragapult-blaziken,96,83,14,193,52.2
dragapult-blaziken,gardevoir-ex-sv,1,1,1,3,44.4
gardevoir-ex-sv,dragapult-blaziken,1,1,1,3,44.4
dragapult-blaziken,gholdengo-lunatone,1,3,0,4,25.0
